0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
B11040,文庫,9784167814021,悼む人　下　　　　　　　　　　,天童　荒太　著　　　,文藝春秋　　　,20110501,570,2401,聖蹟桜ヶ丘店,20130903,20130925,15,2,6681
B11060,文庫,9784334744717,ストロベリーナイト　　　　　　,誉田　哲也　著　　　,光文社　　　　,20080901,667,2401,聖蹟桜ヶ丘店,20121211,20130307,92,4,39361
B11060,文庫,9784334748975,あの頃の誰か　　　　　　　　　,東野　圭吾　著　　　,光文社　　　　,20110101,590,2401,聖蹟桜ヶ丘店,20130209,20131007,86,5,24493
B11120,文庫,9784094086423,小太郎の左腕　　　　　　　　　,和田　竜　著　　　　,小学館　　　　,20110901,657,2401,聖蹟桜ヶ丘店,20120803,20121130,15,2,6359
B12010,文庫,9784062920827,東京の自然史　　　　　　　　　,貝塚　爽平　　　　　,講談社　　　　,20111101,1080,2401,聖蹟桜ヶ丘店,20130926,20120327,3,2,356
B12010,文庫,9784062921428,江戸の食空間　屋台から日本料理,大久保　洋子　　　　,講談社　　　　,20121101,840,2401,聖蹟桜ヶ丘店,20130926,0,0,2,205
B12020,文庫,9784003100325,真景累ケ淵　改版　　　　　　　,三遊亭　円朝　作　　,岩波書店　　　,20070301,900,2401,聖蹟桜ヶ丘店,20070801,20080705,5,3,467
B12020,文庫,9784003220825,ロビンソン・クルーソー　　　　,ダニエル・デフォー　,岩波書店　　　,19710901,960,2401,聖蹟桜ヶ丘店,20091219,20091212,3,2,215
B12020,文庫,9784003261354,罪と罰　上　　　　　　　　　　,ドストエフスキー　　,岩波書店　　　,19991101,940,2401,聖蹟桜ヶ丘店,20120730,20120722,18,2,949
B12020,文庫,9784003279212,伝奇集　　　　　　　　　　　　,Ｊ．Ｌ．ボルヘス　　,岩波書店　　　,19931101,720,2401,聖蹟桜ヶ丘店,20130327,20130319,10,2,617
B12020,文庫,9784003280010,アフリカ農場物語　上　　　　　,Ｏ．シュライナー　作,岩波書店　　　,20060701,600,2401,聖蹟桜ヶ丘店,20060718,0,0,2,38
B12020,文庫,9784003280027,アフリカ農場物語　下　　　　　,Ｏ．シュライナー　作,岩波書店　　　,20060901,760,2401,聖蹟桜ヶ丘店,20060919,0,0,2,24
B12020,文庫,9784003314425,風土　　　　　　　　　　　　　,和辻　哲郎　　　　　,岩波書店　　　,19790501,940,2401,聖蹟桜ヶ丘店,20130327,20120923,6,2,681
B12020,文庫,9784003330319,般若心経・金剛般若経　　　　　,中村　元　　　　　　,岩波書店　　　,19600701,660,2401,聖蹟桜ヶ丘店,20120723,20100328,6,2,862
B12020,文庫,9784003330418,法華経　上　　　　　　　　　　,坂本　幸男　　　　　,岩波書店　　　,19620701,960,2401,聖蹟桜ヶ丘店,20120410,20120401,5,2,476
B12020,文庫,9784003340516,歴史　上　　　　　　　　　　　,ヘロドトス　　　　　,岩波書店　　　,19711201,1100,2401,聖蹟桜ヶ丘店,20120616,20120609,4,2,333
B12020,文庫,9784003342527,一外交官の見た明治維新　　　　,アーネスト・サトウ　,岩波書店　　　,19601001,780,2401,聖蹟桜ヶ丘店,20120117,20111123,5,2,424
B12020,文庫,9784003349014,ローマ建国史　上　　　　　　　,リーウィウス　著　　,岩波書店　　　,20070401,940,2401,聖蹟桜ヶ丘店,20070427,20081120,1,2,95
B12020,文庫,9784003363928,ツァラトゥストラはこう言った　,ニーチェ　　　　　　,岩波書店　　　,19670401,780,2401,聖蹟桜ヶ丘店,20130327,20130225,27,2,1402
B12020,文庫,9784003363935,ツァラトゥストラはこう言った　,ニーチェ　　　　　　,岩波書店　　　,19700501,900,2401,聖蹟桜ヶ丘店,20130327,20130225,19,2,1011
B12020,文庫,9784003600153,文学論　下　　　　　　　　　　,夏目　漱石　著　　　,岩波書店　　　,20070401,940,2401,聖蹟桜ヶ丘店,20070418,0,0,2,116
B12020,文庫,9784003810729,田中正造文集　　　２　谷中の思,由井　正臣　編　　　,岩波書店　　　,20050201,860,2401,聖蹟桜ヶ丘店,20050218,0,0,2,37
B12020,文庫,9784003815021,国語学原論　下　　　　　　　　,時枝　誠記　著　　　,岩波書店　　　,20070401,800,2401,聖蹟桜ヶ丘店,20070418,0,0,2,107
B12020,文庫,9784094087222,偏差値７０の野球部　レベル３　,松尾　清貴　著　　　,小学館　　　　,20120501,533,2401,聖蹟桜ヶ丘店,20130629,20131105,20,2,5439
B12030,文庫,9784480430267,１４歳からの社会学－これからの,宮台　真司　著　　　,筑摩書房　　　,20130101,680,2401,聖蹟桜ヶ丘店,20130614,20130824,4,2,333
B13040,文庫,9784334765286,小袖の陰　御広敷用人大奥記録　,上田　秀人　著　　　,光文社　　　　,20130101,619,2401,聖蹟桜ヶ丘店,20130819,20130808,11,3,3904
B13040,文庫,9784575661651,朔風ノ岸　居眠り磐音江戸双紙　,佐伯　泰英　著　　　,双葉社　　　　,20040301,648,2401,聖蹟桜ヶ丘店,20121217,20120520,71,2,8764
B13040,文庫,9784575661798,朝虹ノ島　居眠り磐音江戸双紙　,佐伯　泰英　著　　　,双葉社　　　　,20040901,648,2401,聖蹟桜ヶ丘店,20121217,20121130,75,2,8690
B13040,文庫,9784758436571,宝引きさわぎ　鎌倉河岸捕物控　,佐伯　泰英　著　　　,角川春樹事務所,20120501,686,2401,聖蹟桜ヶ丘店,20130803,20130725,23,3,9372
B13040,文庫,9784758436984,春の珍事　鎌倉河岸捕物控　　２,佐伯　泰英　著　　　,角川春樹事務所,20121101,686,2401,聖蹟桜ヶ丘店,20121115,20130501,21,3,8684
B14010,文庫,9784150412784,ジャッキー・コーガン　　　　　,Ｇ．Ｖ．ヒギンズ　著,早川書房　　　,20130301,780,2401,聖蹟桜ヶ丘店,20130308,0,0,10,169
B14010,文庫,9784150503833,不可能、不確定、不完全　「でき,Ｊ．Ｄ．スタイン　著,早川書房　　　,20121101,940,2401,聖蹟桜ヶ丘店,20130327,20130825,4,3,401
B14050,,9784434170218,入れ代わりのその果てに　　　　,ゆなり　　　　　　　,星雲社　　　　,20120801,1200,2401,聖蹟桜ヶ丘店,20121004,20130522,11,2,644
B14050,,9784434179327,勇者様にいきなり求婚されたので,富樫　聖夜　　　　　,星雲社　　　　,20130501,1200,2401,聖蹟桜ヶ丘店,20130525,20130603,6,2,537
B14050,,9784569794570,悪ノ娘　緑のヴィーゲンリート　,悪ノＰ　著　　　　　,ＰＨＰ研究所　,20110301,1200,2401,聖蹟桜ヶ丘店,20131030,20130407,14,6,6052
B14050,,9784569801377,悪ノ娘　赤のプラエルディウム　,悪ノＰ（ｍｏｔｈｙ）,ＰＨＰ研究所　,20120101,1200,2401,聖蹟桜ヶ丘店,20131030,20121228,6,6,4169
B14050,,9784569804415,囚人と紙飛行機少年パラドックス,猫ロ眠＠囚人Ｐ,ＰＨＰ研究所,20120530,1200,2401,聖蹟桜ヶ丘店,20131030,20130409,5,6,2223
B15010,文庫,9784569677507,おいち不思議がたり　　　　　　,あさの　あつこ　著　,ＰＨＰ研究所　,20111201,590,2401,聖蹟桜ヶ丘店,20130523,20130511,13,2,2378
B15020,文庫,9784569668840,頭のいい子が育つパパの習慣　　,清水　克彦　著　　　,ＰＨＰ研究所　,20070701,533,2401,聖蹟桜ヶ丘店,20130228,20121108,22,2,6363
B15020,文庫,9784569674674,頭のいい子が育つママの習慣　　,清水　克彦　著　　　,ＰＨＰ研究所　,20100701,533,2401,聖蹟桜ヶ丘店,20130720,20130704,11,2,2748
B15020,文庫,9784569678306,お父さんだからできる子どもの心,菅原　裕子　著　　　,ＰＨＰ研究所　,20120601,552,2401,聖蹟桜ヶ丘店,20130228,20130207,6,2,1290
B15040,文庫,9784334784591,手塚治虫のブッダ救われる言葉　,手塚　治虫　　　　　,光文社　　　　,20070101,552,2401,聖蹟桜ヶ丘店,20110728,20111107,13,2,3233
B15070,文庫,9784413095167,元素のスゴい話アブない話　　　,小谷　太郎　著　　　,青春出版社　　,20110801,695,2401,聖蹟桜ヶ丘店,20120323,20131026,5,2,286
B15199,,9784794219404,文明崩壊　下　　　　　　　　　,Ｊ．ダイアモンド　著,草思社　　　　,20121201,1200,2401,聖蹟桜ヶ丘店,20130301,20130525,6,4,1281
B21020,文庫,9784048685931,アクセル・ワールド　　　５－星,川原　礫　　　　　　,ＫＡＤＯＫＡＷ,20100601,570,2401,聖蹟桜ヶ丘店,20130518,20130430,51,5,11473
B22010,文庫,9784048918268,彼は彼の唇に抗えない　　　　　,義月　粧子　著　　　,ＫＡＤＯＫＡＷ,20130901,640,2401,聖蹟桜ヶ丘店,20130909,20130909,2,2,280
B22081,文庫,9784041009758,銀砂糖師と紺の宰相　シュガーア,三川　みり　　　　　,ＫＡＤＯＫＡＷ,20130901,533,2401,聖蹟桜ヶ丘店,20130831,20130901,2,2,766
C11011,新書・選書,9784062838061,アニメ　化物語副音声副読本　下,西尾　維新　著　　　,講談社　　　　,20120601,1400,2401,聖蹟桜ヶ丘店,20120709,20130805,11,2,1851
C21010,新書・選書,9784004314370,富士山－大自然への道案内　　　,小山　真人　著　　　,岩波書店　　　,20130701,900,2401,聖蹟桜ヶ丘店,20130725,0,0,3,242
C21010,新書・選書,9784480067333,関東連合－六本木アウトローの正,久田　将義　著　　　,筑摩書房　　　,20130901,780,2401,聖蹟桜ヶ丘店,20130923,20130927,2,4,972
C21011,新書・選書,9784062576727,カラー図解　アメリカ版大学生物,Ｄ．サダヴァ　他著　,講談社　　　　,20100201,1400,2401,聖蹟桜ヶ丘店,20120521,20130316,14,2,2726
C21011,新書・選書,9784062576734,カラー図解　アメリカ版大学生物,Ｄ．サダヴァ　他著　,講談社　　　　,20100501,1600,2401,聖蹟桜ヶ丘店,20120315,20120228,8,2,1610
C21011,新書・選書,9784062576772,新体系・高校数学の教科書　上　,芳沢　光雄　著　　　,講談社　　　　,20100301,1180,2401,聖蹟桜ヶ丘店,20120615,20110301,4,2,2009
C21011,新書・選書,9784062576789,新体系・高校数学の教科書　下　,芳沢　光雄　著　　　,講談社　　　　,20100301,1180,2401,聖蹟桜ヶ丘店,20120615,20101125,3,2,1424
C21011,新書・選書,9784062577274,ｉＰＳ細胞とはなにか　万能細胞,朝日新聞大阪本社科学,講談社　　　　,20110801,800,2401,聖蹟桜ヶ丘店,20130525,20121103,4,2,1887
C21020,新書・選書,9784004202585,記号論への招待　　　　　　　　,池上　嘉彦　　　　　,岩波書店　　　,19840301,800,2401,聖蹟桜ヶ丘店,20110111,20090514,1,2,172
C21020,新書・選書,9784004307501,仕事が人をつくる　　　　　　　,小関　智弘　　　　　,岩波書店　　　,20010901,680,2401,聖蹟桜ヶ丘店,20060118,20060113,0,2,120
C21020,新書・選書,9784004308874,判断力　　　　　　　　　　　　　　　　　,奥村　宏　著　　　　,岩波書店　　　,20040401,700,2401,聖蹟桜ヶ丘店,20041111,20101020,1,2,89
C21020,新書・選書,9784004308935,戦後政治の崩壊　　　　　　　　,山口　二郎　著　　　,岩波書店　　　,20040601,740,2401,聖蹟桜ヶ丘店,20060711,20060706,2,2,107
C21020,新書・選書,9784004309024,シナリオ人生　　　　　　　　　,新藤　兼人　著　　　,岩波書店　　　,20040701,700,2401,聖蹟桜ヶ丘店,20040925,20050918,1,2,47
C21020,新書・選書,9784004309062,聖書でわかる英語表現　　　　　,石黒　マリーローズ　,岩波書店　　　,20040801,800,2401,聖蹟桜ヶ丘店,20051221,20090811,6,2,100
C21020,新書・選書,9784004309239,阪神・淡路大震災１０年　　　　,柳田　邦男　編　　　,岩波書店　　　,20041201,700,2401,聖蹟桜ヶ丘店,20050124,0,0,2,37
C21020,新書・選書,9784004309598,中国激流　１３億のゆくえ　　　,興梠　一郎　著　　　,岩波書店　　　,20050701,780,2401,聖蹟桜ヶ丘店,20060609,20080416,9,2,274
C21020,新書・選書,9784004310044,冠婚葬祭のひみつ　　　　　　　,斎藤　美奈子　著　　,岩波書店　　　,20060501,740,2401,聖蹟桜ヶ丘店,0,20070112,1,2,522
C21020,新書・選書,9784004310235,アメリカの宇宙戦略　　　　　　,明石　和康　著　　　,岩波書店　　　,20060620,700,2401,聖蹟桜ヶ丘店,20060707,20060704,1,2,239
C21020,新書・選書,9784004310273,溥儀　　　　　　　　　　　　　,入江　曜子　著　　　,岩波書店　　　,20060701,780,2401,聖蹟桜ヶ丘店,20060721,20080329,3,2,351
C21020,新書・選書,9784004310280,自殺予防　　　　　　　　　　　,高橋　祥友　著　　　,岩波書店　　　,20060701,760,2401,聖蹟桜ヶ丘店,20060721,20060722,1,2,343
C21020,新書・選書,9784004310761,がんとどう向き合うか　　　　　,額田　勲　著　　　　,岩波書店　　　,20070501,760,2401,聖蹟桜ヶ丘店,20070523,20080226,1,2,278
C21020,新書・選書,9784004310846,金融ＮＰＯ－新しいお金の流れを,藤井　良広　著　　　,岩波書店　　　,20070701,780,2401,聖蹟桜ヶ丘店,20071115,20070902,2,2,278
